IndividualID,SpouseID,Day,Female.Dummy,Profit,Occupation
00109,00025,12,0,2200,1
00025,00109,1,1,150,2
00025,00109,2,1,175,2
00025,00109,3,1,0,2
00025,00109,4,1,150,2
00025,00109,5,1,175,2
00025,00109,6,1,0,2
00025,00109,7,1,150,2
00025,00109,8,1,175,2
00025,00109,9,1,0,2
00025,00109,11,1,175,2
00025,00109,12,1,0,2
00025,00109,13,1,150,2
00108,00024,1,0,300,1
00108,00024,3,0,400,1
00024,00108,1,1,0,2
00024,00108,2,1,250,2
00107,00023,1,0,1530,1
00107,00023,2,0,1710,1
00107,00023,3,0,1710,1
00023,00107,1,1,1530,1
00023,00107,2,1,1710,1
00023,00107,3,1,1710,1
00151,,1,0,0,1
00151,,2,0,950,1
00151,,3,0,1900,1
00151,,4,0,900,1
00151,,5,0,500,1
00152,,1,1,300,2
00152,,2,1,800,2
00106,00022,1,0,200,1
00106,00022,2,0,750,1
00106,00022,3,0,370,1
00106,00022,4,0,750,1
00105,00021,1,0,500,1
00105,00021,2,0,500,1
00105,00021,3,0,400,1
00022,00106,1,1,400,2
00022,00106,2,1,-100,2
00022,00106,3,1,500,2
00022,00106,4,1,-300,2
00022,00106,5,1,200,2
00021,00105,1,1,550,2
00021,00105,2,1,800,2
00021,00105,3,1,-600,2
00021,00105,4,1,1250,2
00104,00020,1,0,500,1
00104,00020,2,0,0,1
00104,00020,3,0,270,1
00104,00020,4,0,410,1
00020,00104,1,1,550,2
00020,00104,2,1,400,2
00103,00019,1,0,280,1
00103,00019,2,0,280,1
00103,00019,3,0,700,1
00019,00103,1,1,280,1
00019,00103,2,1,280,1
00019,00103,3,1,900,1
00019,00103,4,1,700,1
00102,00018,1,0,360,1
00102,00018,2,0,630,1
00102,00018,3,0,750,1
00102,00018,4,0,350,1
00102,00018,5,0,510,1
00101,00017,1,0,720,1
00101,00017,2,0,300,1
00101,00017,3,0,700,1
00153,00159,1,1,200,2
00153,00159,2,1,400,2
00153,00159,3,1,400,2
00018,00102,4,1,350,1
00018,00102,5,1,510,1
00098,00014,1,0,300,1
00098,00014,2,0,700,1
00098,00014,3,0,1200,1
00014,00098,1,1,300,1
00014,00098,2,1,700,1
00014,00098,3,1,1200,1
00154,00098,1,1,470,1
00154,00098,2,1,500,1
00154,00098,3,1,600,1
00097,00013,1,0,1680,1
00097,00013,2,0,1800,1
00097,00013,3,0,1800,1
00013,00097,1,1,1680,1
00013,00097,2,1,1800,1
00013,00097,3,1,1800,1
00096,00012,1,0,1500,1
00096,00012,2,0,700,1
00096,00012,3,0,500,1
00096,00012,4,0,1200,1
00012,00096,1,1,700,1
00012,00096,2,1,500,1
00012,00096,3,1,1200,1
00155,00096,1,1,350,2
00155,00096,2,1,800,2
00155,00096,3,1,-50,2
00095,00162,1,0,0,1
00095,00162,2,0,2400,1
00095,00162,3,0,0,1
00156,00095,1,1,0,1
00156,00095,2,1,2400,1
00156,00095,3,1,0,1
00094,00010,1,0,2500,1
00094,00010,2,0,700,1
00094,00010,3,0,400,1
00094,00010,4,0,200,1
00094,00010,5,0,720,1
00094,00010,6,0,900,1
00010,00094,1,1,200,1
00010,00094,2,1,720,1
00010,00094,3,1,900,1
00093,00009,1,0,700,1
00093,00009,2,0,1500,1
00093,00009,3,0,500,1
00009,00093,1,1,700,1
00009,00093,2,1,1500,1
00009,00093,3,1,500,1
00092,00008,1,0,550,1
00092,00008,2,0,200,1
00092,00008,3,0,300,1
00092,00008,4,0,200,1
00092,00008,5,0,280,1
00008,00092,1,1,100,2
00008,00092,2,1,220,2
00008,00092,3,1,440,2
00008,00092,4,1,-60,2
00091,00007,1,0,300,1
00091,00007,2,0,400,1
00090,00006,1,0,300,1
00090,00006,2,0,500,1
00089,00005,1,0,300,1
00089,00005,2,0,600,1
00089,00005,3,0,500,1
00005,00089,1,1,500,2
00005,00089,2,1,-600,2
00005,00089,3,1,350,2
00088,00004,1,0,400,1
00088,00004,2,0,500,1
00088,00004,3,0,250,1
00004,00088,1,1,250,2
00004,00088,2,1,0,2
00004,00088,3,1,0,2
00087,00003,1,0,550,1
00087,00003,2,0,200,1
00087,00003,3,0,130,1
00003,00087,1,1,2000,2
00003,00087,2,1,-500,2
00003,00087,3,1,300,2
00086,00002,1,0,500,1
00086,00002,2,0,500,1
00086,00002,3,0,500,1
00157,00158,1,0,200,1
00157,00158,2,0,200,1
00157,00158,3,0,200,1
00085,00001,1,0,400,1
00085,00001,2,0,500,1
00085,00001,3,0,450,1
00001,00085,1,1,0,2
00001,00085,2,1,300,2
00001,00085,3,1,-50,2
